Training fitness,Test fitness
0.005791442861881805,0.00735799553773608
0.008831228384622615,0.009694102088274176
0.008212572196737097,0.008752524718958586
0.012459160490037275,0.013114247165694192
0.011656182141040259,0.017921860358881922
0.006166975780707528,0.006828563973325471
0.007843637272712116,0.008450463741123715
0.0056746552617017755,0.006460514046151523
0.008989506846831493,0.014716776576061899
0.01073097067738573,0.022796207486680847
avg: 0.008635633191365769,avg: 0.01160932556928884
